epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1023.44,0.68526,0.67956,0.79259,0.96262,0.99425,0.995,0.80118,0.74471,0.73973,0.78206,0.000924352,0.000924352,0.000924352
137,1030.4,0.65938,0.68371,0.80051,0.96262,0.99425,0.995,0.80118,0.74471,0.73973,0.78206,0.00091885,0.00091885,0.00091885
138,1037.62,0.67231,0.66954,0.79675,0.95735,0.99412,0.995,0.77363,0.74577,0.69077,0.78153,0.000913349,0.000913349,0.000913349
139,1044.73,0.62377,0.63184,0.79714,0.95735,0.99412,0.995,0.77363,0.74577,0.69077,0.78153,0.000907848,0.000907848,0.000907848
140,1052.12,0.63807,0.64818,0.80498,0.96002,0.99471,0.995,0.77173,0.75149,0.6532,0.78065,0.000902347,0.000902347,0.000902347
141,1059.05,0.58461,0.67668,0.81364,0.96002,0.99471,0.995,0.77173,0.75149,0.6532,0.78065,0.000896846,0.000896846,0.000896846
142,1066.36,0.6172,0.64609,0.78588,0.96099,0.99486,0.995,0.76495,0.79208,0.66527,0.78305,0.000891345,0.000891345,0.000891345
143,1073.53,0.60798,0.63995,0.83848,0.96099,0.99486,0.995,0.76495,0.79208,0.66527,0.78305,0.000885844,0.000885844,0.000885844
144,1080.77,0.60949,0.59607,0.77577,0.95905,0.99502,0.995,0.7414,0.79394,0.66607,0.78672,0.000880343,0.000880343,0.000880343
145,1087.85,0.64119,0.6537,0.80904,0.95905,0.99502,0.995,0.7414,0.79394,0.66607,0.78672,0.000874842,0.000874842,0.000874842
146,1094.96,0.58553,0.63278,0.83443,0.95895,0.99493,0.995,0.73766,0.79428,0.65746,0.78381,0.00086934,0.00086934,0.00086934
147,1101.98,0.59708,0.61978,0.79721,0.95895,0.99493,0.995,0.73766,0.79428,0.65746,0.78381,0.000863839,0.000863839,0.000863839
148,1109,0.62163,0.65267,0.76845,0.95199,0.99426,0.995,0.74791,0.8007,0.68038,0.78189,0.000858338,0.000858338,0.000858338
149,1115.96,0.6009,0.60612,0.80215,0.95199,0.99426,0.995,0.74791,0.8007,0.68038,0.78189,0.000852837,0.000852837,0.000852837
150,1123.05,0.67007,0.61861,0.82568,0.94914,0.99447,0.995,0.75686,0.79601,0.67294,0.78115,0.000847336,0.000847336,0.000847336
151,1130.35,0.61146,0.5868,0.78065,0.94914,0.99447,0.995,0.75686,0.79601,0.67294,0.78115,0.000841835,0.000841835,0.000841835
152,1137.6,0.59543,0.65901,0.81028,0.94775,0.99432,0.995,0.76436,0.76462,0.67746,0.78349,0.000836334,0.000836334,0.000836334
153,1144.83,0.68056,0.61951,0.78928,0.94775,0.99432,0.995,0.76436,0.76462,0.67746,0.78349,0.000830833,0.000830833,0.000830833
154,1151.91,0.65709,0.69001,0.79061,0.95093,0.99458,0.995,0.78243,0.75634,0.68178,0.78128,0.000825332,0.000825332,0.000825332
155,1158.92,0.56686,0.60226,0.77338,0.95093,0.99458,0.995,0.78243,0.75634,0.68178,0.78128,0.000819831,0.000819831,0.000819831
156,1166.08,0.65314,0.61767,0.81014,0.94991,0.99451,0.995,0.7555,0.81233,0.65521,0.78206,0.000814329,0.000814329,0.000814329
157,1173.09,0.6491,0.60449,0.79867,0.94991,0.99451,0.995,0.7555,0.81233,0.65521,0.78206,0.000808828,0.000808828,0.000808828
158,1180.18,0.66259,0.68057,0.79223,0.95255,0.99435,0.995,0.73707,0.80925,0.66676,0.78301,0.000803327,0.000803327,0.000803327
159,1187.3,0.59583,0.59971,0.79514,0.95255,0.99435,0.995,0.73707,0.80925,0.66676,0.78301,0.000797826,0.000797826,0.000797826
160,1194.58,0.62117,0.61638,0.80063,0.95871,0.99448,0.995,0.74505,0.74835,0.6644,0.77909,0.000792325,0.000792325,0.000792325
161,1201.86,0.54852,0.58538,0.81698,0.95871,0.99448,0.995,0.74505,0.74835,0.6644,0.77909,0.000786824,0.000786824,0.000786824
162,1208.94,0.60648,0.58581,0.79174,0.96077,0.99483,0.995,0.7253,0.75229,0.67169,0.77716,0.000781323,0.000781323,0.000781323
163,1216.06,0.61422,0.60752,0.75613,0.96077,0.99483,0.995,0.7253,0.75229,0.67169,0.77716,0.000775822,0.000775822,0.000775822
164,1223.34,0.58199,0.554,0.82141,0.98538,0.91667,0.98357,0.6932,0.79211,0.68439,0.77805,0.000770321,0.000770321,0.000770321
165,1230.31,0.65381,0.62541,0.80252,0.98538,0.91667,0.98357,0.6932,0.79211,0.68439,0.77805,0.00076482,0.00076482,0.00076482
